molecule_id,smiles,mw,logp,qed,tpsa,hbd,hba
MOL-DRUG0001,CC(=O)OC1=CC=CC=C1C(=O)O,180.16,1.19,0.55,63.60,1,4
MOL-DRUG0002,Cn1cnc2n(C)c(=O)n(C)c(=O)c12,194.19,-0.07,0.54,61.82,0,6
MOL-DRUG0003,CC(C)Cc1ccc(cc1)[C@@H](C)C(=O)O,206.29,3.97,0.82,37.30,1,1
MOL-DRUG0004,CN(C)C(=N)NC(=N)N,129.17,-1.43,0.34,86.34,4,4
MOL-DRUG0005,CCN(CC)CCOC(=O)C1=CC=CC=C1N(C)C,234.34,2.26,0.76,32.34,0,3
MOL-DRUG0006,CCOC(=O)Nc1ccc(cc1)N,166.18,1.40,0.69,49.33,2,3
MOL-DRUG0007,CC1=CC(=O)NC(=O)N1,112.09,-0.55,0.48,58.20,2,2
MOL-DRUG0008,CC(C)NCC(O)COc1ccccc1,195.25,2.05,0.78,41.49,2,3
MOL-DRUG0009,COc1ccc2c(c1)OCO2,150.14,1.58,0.63,18.46,0,3
MOL-DRUG0010,CCOC1=CC=CC=C1O,138.17,2.12,0.73,20.23,1,2
MOL-DRUG0011,CCC(C)C(C)C(=O)O,116.16,2.23,0.57,37.30,1,1
MOL-DRUG0012,CC(C)Oc1ccc(cc1)C(C)C(=O)O,180.20,2.87,0.76,37.30,1,2
MOL-DRUG0013,CCN1CCCC1C(=O)O,143.19,0.41,0.61,37.30,1,2
MOL-DRUG0014,COc1ccccc1O,124.14,1.33,0.56,40.46,2,2
MOL-DRUG0015,CC(C)NC(=O)Nc1ccc(cc1)Cl,214.68,2.72,0.71,41.13,2,2
MOL-DRUG0016,CCOc1ccc(cc1)C(=O)NCC,179.22,1.89,0.66,38.33,1,2
MOL-DRUG0017,CC1=CC=CC=C1C(=O)NCCN,164.20,1.17,0.59,46.25,2,2
MOL-DRUG0018,CCOC(=O)C1=CC=CC=C1O,166.17,1.45,0.68,46.53,1,3
MOL-DRUG0019,CCCN(CC)CCO,117.19,0.63,0.43,23.47,1,2
MOL-DRUG0020,CN1CCN(CC1)C(=O)c2ccc(cc2)Cl,267.75,2.14,0.62,32.78,0,3
