molecule_id,smiles,mw,logp,qed,tpsa,hbd,hba
MOL-ZINC0001,CCO,46.07,-0.00,0.41,20.23,1,1
MOL-ZINC0002,c1ccccc1,78.11,1.69,0.44,0.00,0,0
MOL-ZINC0003,CC(C)NCC(O)CO,121.18,-1.18,0.63,52.49,3,3
MOL-ZINC0004,CCOC(=O)N1CCCC1,129.16,0.62,0.58,29.54,0,2
MOL-ZINC0005,CN1CCC[C@H]1c2cccnc2,162.23,1.17,0.60,12.89,0,2
MOL-ZINC0006,CCN(CC)CC,101.19,1.35,0.48,3.24,0,1
MOL-ZINC0007,CC(C)CO,74.12,0.39,0.52,20.23,1,1
MOL-ZINC0008,CCOC,60.10,0.17,0.39,9.23,0,1
MOL-ZINC0009,CC(C)C(=O)O,88.11,0.47,0.56,37.30,1,1
MOL-ZINC0010,C1CCCCC1,84.16,2.34,0.43,0.00,0,0
MOL-ZINC0011,COc1ccccc1,108.14,1.42,0.55,9.23,0,1
MOL-ZINC0012,CCN1CCCCC1,113.19,1.06,0.49,3.24,0,1
MOL-ZINC0013,CC(C)N(C)C,87.17,0.86,0.41,3.24,0,1
MOL-ZINC0014,CCOC(=O)C,88.11,0.68,0.50,26.30,0,2
MOL-ZINC0015,CC(C)CNC,87.16,0.77,0.46,12.03,1,1
MOL-ZINC0016,CNCCO,75.11,-0.11,0.47,23.47,1,2
MOL-ZINC0017,CC(C)OC,74.12,0.42,0.40,9.23,0,1
MOL-ZINC0018,CCN(CC)C,87.17,0.92,0.39,3.24,0,1
MOL-ZINC0019,CCOC(=O)N,74.08,-0.05,0.52,43.09,1,2
MOL-ZINC0020,CC(C)C1=CC=CC=C1,120.19,2.39,0.54,0.00,0,0
